Line# 1: TOKEN <LSQUARE> Lexeme <[> found
Line# 2: TOKEN <IF> Lexeme <if> found
Line# 2: TOKEN <LCURL> Lexeme <{> found
Line# 3: TOKEN <CONST_INT> Lexeme <123> found
Line# 3: TOKEN <ADDOP> Lexeme <+> found
Line# 3: TOKEN <CONST_INT> Lexeme <30> found
Line# 3: TOKEN <SEMICOLON> Lexeme <;> found
Line# 4: TOKEN <BREAK> Lexeme <break> found
Line# 4: TOKEN <SEMICOLON> Lexeme <;> found
Line# 5: TOKEN <CONST_CHAR> Lexeme <'a'> found
Line# 5: TOKEN <SEMICOLON> Lexeme <;> found
Line# 6: TOKEN <CONST_CHAR> Lexeme <'\n'> found
Line# 6: TOKEN <COMMA> Lexeme <,> found
Line# 6: TOKEN <CONST_CHAR> Lexeme <'\t'> found
Line# 6: TOKEN <COMMA> Lexeme <,> found
Line# 6: TOKEN <CONST_CHAR> Lexeme <'\0'> found
Line# 6: TOKEN <COMMA> Lexeme <,> found
Line# 6: TOKEN <CONST_CHAR> Lexeme <'\''> found
Line# 6: TOKEN <SEMICOLON> Lexeme <;> found
Line# 7: TOKEN <RCURL> Lexeme <}> found
Line# 8: TOKEN <ELSE> Lexeme <else> found
Line# 8: TOKEN <LCURL> Lexeme <{> found
Error at line# <9>: <Too many decimal point>
Line# 9: TOKEN <SEMICOLON> Lexeme <;> found
Error at line# <10>: <Ill formed number>
Line# 10: TOKEN <SEMICOLON> Lexeme <;> found
Line# 11: TOKEN <CONST_FLOAT> Lexeme <0.31416> found
Line# 11: TOKEN <INCOP> Lexeme <--> found
Line# 11: TOKEN <SEMICOLON> Lexeme <;> found
Line# 12: TOKEN <CONST_INT> Lexeme <100> found
Line# 12: TOKEN <SEMICOLON> Lexeme <;> found
Line# 13: TOKEN <CONTINUE> Lexeme <continue> found
Line# 13: TOKEN <SEMICOLON> Lexeme <;> found
Line# 13: TOKEN <RCURL> Lexeme <}> found
Line# 14: TOKEN <RSQUARE> Lexeme <]> found
